,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,41.66666666666667,95.83333333333334,180.092,66.66666666666667,43.333333333333336
Feb,41.66666666666667,95.83333333333334,187.54999999999998,66.66666666666667,43.333333333333336
Mar,41.66666666666667,95.83333333333334,150.26,66.66666666666667,43.333333333333336
Apr,41.66666666666667,95.83333333333334,112.97,66.66666666666667,43.333333333333336
May,62.41000000000005,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Jun,140.66666666666663,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Jul,95.9186666666667,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Aug,93.54149836040568,95.83333333333334,191.66666666666669,129.11100000000005,43.333333333333336
Sep,88.3375841531305,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Oct,103.25358415313048,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Nov,250.0,95.83333333333334,191.66666666666669,90.38666666666671,43.333333333333336
Dec,250.0,95.83333333333334,191.66666666666669,143.83566666666673,43.333333333333336
