,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,850.0,1250.0,1250.0,1923.6999999999994,437.5
Feb,850.0,1250.0,2327.933333333332,2104.166666666667,437.5
Mar,850.0,1250.0,2916.666666666667,2104.166666666667,526.366666666665
Apr,850.0,1250.0,1650.3333333333326,2104.166666666667,437.5
May,850.0,1250.0,2916.666666666667,2104.166666666667,1833.1666666666652
Jun,850.0,1250.0,2916.666666666667,2104.166666666667,6189.166666666664
Jul,850.0,1250.0,2916.666666666667,2104.166666666667,6527.966666666665
Aug,850.0,1250.0,2916.666666666667,2104.166666666667,4038.488072904749
Sep,850.0,1250.0,2916.666666666667,2104.166666666667,3900.7059635476226
Oct,3750.0,1250.0,2916.666666666667,2104.166666666667,710.3059635476229
Nov,3750.0,1250.0,2916.666666666667,2104.166666666667,627.1666666666652
Dec,2450.0,1250.0,2916.666666666667,2104.166666666667,1346.3666666666704
