,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,0.0,1250.0,1919.5333333333328,2104.166666666667,437.5
Feb,261.2666666666646,1250.0,2916.666666666667,2104.166666666667,437.5
Mar,938.866666666665,1250.0,2916.666666666667,2104.166666666667,437.5
Apr,0.0,1250.0,2500.333333333333,2104.166666666667,437.5
May,2245.666666666666,1250.0,2916.666666666667,2104.166666666667,437.5
Jun,3750.0,1250.0,2916.666666666667,2104.166666666667,3289.166666666665
Jul,3750.0,1250.0,2916.666666666667,2104.166666666667,3627.9666666666644
Aug,3750.0,1250.0,2916.666666666667,2104.166666666667,2175.9666666666644
Sep,2904.200000000006,1250.0,2916.666666666667,2104.166666666667,1182.5666666666584
Oct,0.0,1250.0,2916.666666666667,2104.166666666667,4086.7666666666646
Nov,0.0,1250.0,2916.666666666667,2104.166666666667,4377.166666666666
Dec,0.0,1250.0,2916.666666666667,2104.166666666667,3796.366666666665
