,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,0.0,95.83333333333334,138.42533333333336,150.0,43.333333333333336
Feb,0.0,95.83333333333334,145.88333333333344,150.0,43.333333333333336
Mar,0.0,95.83333333333334,108.59333333333336,150.0,43.333333333333336
Apr,0.0,95.83333333333334,71.30333333333337,150.0,43.333333333333336
May,0.0,95.83333333333334,170.74333333333334,150.0,43.333333333333336
Jun,140.66666666666657,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Jul,95.91866666666664,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Aug,155.97466666666656,95.83333333333334,191.66666666666669,80.0,43.333333333333336
Sep,146.4786666666667,95.83333333333334,191.66666666666669,0.0,43.333333333333336
Oct,165.12366666666668,95.83333333333334,191.66666666666669,0.0,43.333333333333336
Nov,250.0,95.83333333333334,191.66666666666669,0.0,133.71999999999994
Dec,250.0,95.83333333333334,191.66666666666669,0.0,187.169
