,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,4829.973333333332,833.3333333333334,2750.0,1666.6666666666667,416.6666666666667
Feb,5000.0,833.3333333333334,2750.0,1666.6666666666667,1577.2000000000014
Mar,5000.0,833.3333333333334,2750.0,1666.6666666666667,1577.2000000000014
Apr,4829.973333333334,833.3333333333334,2750.0,1666.6666666666667,416.6666666666667
May,5000.0,833.3333333333334,2750.0,1666.6666666666667,3868.7200000000016
Jun,5000.0,833.3333333333334,2750.0,1666.6666666666667,9338.799999999997
Jul,5000.0,833.3333333333334,2750.0,1666.6666666666667,10004.08
Aug,5000.0,833.3333333333334,2750.0,1666.6666666666667,8377.84
Sep,5000.0,833.3333333333334,400.0,1666.6666666666667,7623.2000000000035
Oct,5000.0,833.3333333333334,0.0,1666.6666666666667,8244.960000000001
Nov,5000.0,6519.466666666656,0.0,1666.6666666666667,4554.666666666677
Dec,5000.0,11887.253333333334,0.0,1666.6666666666667,0.0
