,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,296.6231666666664,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Feb,368.7446666666666,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Mar,208.33333333333334,360.71350000000007,333.33333333333337,375.0,333.33333333333337
Apr,208.33333333333334,360.71350000000007,333.33333333333337,375.0,333.33333333333337
May,549.0484166666666,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Jun,750.0,375.0,333.33333333333337,416.6666666666667,589.1512500000001
Jul,750.0,375.0,622.0338333333319,416.6666666666667,504.7950000000016
Aug,750.0,375.0,415.6328333333332,416.6666666666667,333.33333333333337
Sep,750.0,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Oct,750.0,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Nov,750.0,375.0,333.33333333333337,416.6666666666667,769.455
Dec,750.0,375.0,333.33333333333337,416.6666666666667,1274.3055000000006
