,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,179.41999999999996,83.33333333333334,41.66666666666667,145.83333333333334,41.66666666666667
Feb,33.586666666666645,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Mar,110.78,83.33333333333334,41.66666666666667,145.83333333333334,41.66666666666667
Apr,20.833333333333336,83.33333333333334,124.74933333333331,145.83333333333334,41.66666666666667
May,53.034666666666624,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jun,176.58666666666664,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jul,175.44266666666667,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Aug,131.79533470601686,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Sep,83.83799862731621,83.33333333333334,179.09233401967526,145.83333333333334,41.66666666666667
Oct,208.33333333333334,83.33333333333334,68.32499931365814,145.83333333333334,41.66666666666667
Nov,178.0160000000006,83.33333333333334,187.5,145.83333333333334,137.47733333333264
Dec,208.33333333333334,83.33333333333334,187.5,145.83333333333334,231.85599999999988
