,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,4.9565000000000055,375.0,625.0,416.6666666666667,333.33333333333337
Feb,77.07799999999975,375.0,625.0,416.6666666666667,333.33333333333337
Mar,0.0,375.0,485.7135000000001,416.6666666666667,333.33333333333337
Apr,0.0,375.0,485.7135000000001,416.6666666666667,333.33333333333337
May,257.38175000000024,375.0,625.0,416.6666666666667,333.33333333333337
Jun,714.1512499999997,375.0,625.0,416.6666666666667,333.33333333333337
Jul,750.0,375.0,625.0,416.6666666666667,501.8288333333336
Aug,750.0,375.0,274.5729999999994,416.6666666666667,732.0533333333339
Sep,750.0,375.0,0.0,416.6666666666667,501.77583333333325
Oct,750.0,375.0,0.0,416.6666666666667,573.897333333333
Nov,750.0,375.0,0.0,416.6666666666667,1102.788333333333
Dec,750.0,375.0,0.0,416.6666666666667,1607.6388333333334
