,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Feb,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Mar,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Apr,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
May,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jun,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jul,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Aug,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Sep,113.6666666458666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Oct,208.33333333333334,83.33333333333334,80.50000000000023,145.83333333333334,53.9999999791997
Nov,208.33333333333334,83.33333333333334,0.0,145.83333333333334,134.4999999791999
Dec,120.3333335205339,83.33333333333334,0.0,145.83333333333334,222.49999979199936
