,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,37.08333328436669,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Feb,37.08333328436669,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Mar,37.08333328436669,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Apr,37.08333328436669,95.83333333333334,191.66666666666669,150.0,43.333333333333336
May,37.08333328436669,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Jun,37.08333328436669,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Jul,37.08333328436669,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Aug,107.08333328436669,95.83333333333334,191.66666666666669,80.0,43.333333333333336
Sep,187.0833332843667,95.83333333333334,191.66666666666669,0.0,43.333333333333336
Oct,187.0833332843667,95.83333333333334,191.66666666666669,0.0,43.333333333333336
Nov,187.0833332843667,95.83333333333334,191.66666666666669,0.0,43.333333333333336
Dec,187.0833332843667,95.83333333333334,191.66666666666669,0.0,43.333333333333336
