,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,7066.666666218665
Feb,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,7066.666666218665
Mar,5000.0,3033.3333293013075,2750.0,1666.6666666666667,2950.000003584024
Apr,5000.0,5566.666666218665,2750.0,1666.6666666666667,416.6666666666667
May,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,7066.6666662186635
Jun,5000.0,833.3333333333334,1733.3333333333394,1666.6666666666667,6166.66666621866
Jul,5000.0,5566.666666218671,2750.0,1666.6666666666667,416.6666666666667
Aug,5000.0,5566.666666218665,2750.0,1666.6666666666667,416.6666666666667
Sep,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999551999
Oct,5000.0,833.3333333333334,2750.0,1666.6666666666667,5149.999999551999
Nov,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,7066.666666218665
Dec,5000.0,833.3333333333334,833.3333333333334,1666.6666666666667,7066.666666218662
