,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,208.33333333333334,83.33333333333334,92.83333331253326,145.83333333333334,41.66666666666667
Feb,208.33333333333334,83.33333333333334,92.83333331253328,145.83333333333334,41.66666666666667
Mar,20.833333333333336,83.33333333333334,187.5,145.83333333333334,134.49999997920003
Apr,113.66666664586666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
May,208.33333333333334,83.33333333333334,92.83333331253326,145.83333333333334,41.66666666666667
Jun,113.66666664586666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jul,20.833333333333336,83.33333333333334,180.00000018720138,145.83333333333334,141.9999997919987
Aug,20.833333333333336,83.33333333333334,187.5,145.83333333333334,134.49999997920003
Sep,113.66666664586666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Oct,208.33333333333334,83.33333333333334,92.83333331253328,145.83333333333334,41.66666666666667
Nov,114.83333339573363,83.33333333333334,186.33333325013297,145.83333333333334,41.66666666666667
Dec,208.33333333333334,83.33333333333334,92.83333331253277,145.83333333333334,41.66666666666667
