,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,750.0,375.0,333.33333333333337,416.6666666666667,1063.2833334547502
Feb,750.0,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Mar,750.0,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Apr,750.0,375.0,333.33333333333337,416.6666666666667,333.33333333333337
May,750.0,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Jun,675.2041673465991,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Jul,208.33333333333334,291.6666666666667,333.33333333333337,375.0,312.5
Aug,208.33333333333334,317.55549719875006,333.33333333333337,375.0,333.33333333333337
Sep,378.09375026711655,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Oct,745.3791667030916,375.0,333.33333333333337,416.6666666666667,333.33333333333337
Nov,750.0,375.0,412.66666666666515,416.6666666666667,616.6645836854432
Dec,750.0,375.0,625.0,416.6666666666667,673.2028362074311
