,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,208.33333333333334,83.33333333333334,187.5,145.83333333333334,137.66666666319986
Feb,189.57043377362373,83.33333333333334,186.56087850536767,145.83333333333334,41.66666666666667
Mar,208.33333333333334,83.33333333333334,136.39299930845814,145.83333333333334,41.66666666666667
Apr,114.32633262099151,83.33333333333334,187.5,145.83333333333334,41.66666666666667
May,71.4263326365915,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Jun,175.17690098959366,83.33333333333334,41.66666666666667,145.83333333333334,41.66666666666667
Jul,20.833333333333336,83.33333333333334,97.04612213764005,145.83333333333334,41.66666666666667
Aug,20.833333333333336,83.33333333333334,115.21115626933327,145.83333333333334,41.66666666666667
Sep,20.833333333333336,83.33333333333334,66.12217711253433,145.83333333333334,160.54448958186563
Oct,113.66666664586666,83.33333333333334,187.5,145.83333333333334,41.66666666666667
Nov,208.33333333333334,83.33333333333334,187.5,145.83333333333334,42.333333378399914
Dec,208.33333333333334,83.33333333333334,187.5,145.83333333333334,112.12217702239928
