,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,850.0,1250.0,2916.666666666667,2104.166666666667,5785.833332746665
Feb,850.0,1250.0,2916.666666666667,2104.166666666667,2810.6372387476235
Mar,850.0,1250.0,2916.666666666667,2104.166666666667,2712.217075147624
Apr,2990.2726296276223,1250.0,2916.666666666667,2104.166666666667,437.5
May,2855.8281867476235,1250.0,2916.666666666667,2104.166666666667,437.5
Jun,850.0,1250.0,2916.666666666667,2104.166666666667,2043.7397169844348
Jul,850.0,1250.0,2019.805155091727,2104.166666666667,437.5
Aug,850.0,1250.0,2243.9580282933325,2104.166666666667,437.5
Sep,850.0,1250.0,2916.666666666667,2104.166666666667,945.8333353866647
Oct,850.0,1250.0,2916.666666666667,2104.166666666667,2559.166666226665
Nov,1203.8991836247542,1250.0,2916.666666666667,2104.166666666667,3818.6008182819114
Dec,3750.0,1250.0,2916.666666666667,2104.166666666667,2453.541970826671
