,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,209.72222217576672,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Feb,153.93978829779712,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Mar,187.98475082168054,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Apr,41.66666666666667,95.83333333333334,191.66666666666669,145.65558410228047,43.333333333333336
May,52.3153349258441,95.83333333333334,191.66666666666669,67.67774923105301,43.333333333333336
Jun,41.66666666666667,95.83333333333334,150.1707717668259,66.66666666666667,43.333333333333336
Jul,41.66666666666667,95.83333333333334,100.4504651382521,66.66666666666667,43.333333333333336
Aug,41.66666666666667,95.83333333333334,120.9070031128,66.66666666666667,43.333333333333336
Sep,41.66666666666667,95.83333333333334,184.09722223979998,66.66666666666667,43.333333333333336
Oct,120.41666661769997,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Nov,206.73611113120006,95.83333333333334,191.66666666666669,66.66666666666667,43.333333333333336
Dec,186.59299678926646,95.83333333333334,191.66666666666669,150.0,43.333333333333336
